TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_DEFAULT,COMMENT
SERVICENOW,SN_FLIGHT_REPORT,SN_REPORT_ID,VARCHAR,,"ServiceNow incident number, e.g. INC3083734. Primary key."
SERVICENOW,SN_FLIGHT_REPORT,FLIGHT_DATE_TIME,TIMESTAMP_NTZ,,Scheduled departure of the flight the report is about.
SERVICENOW,SN_FLIGHT_REPORT,CREATED_AT,TIMESTAMP_NTZ,,When the report was raised.
SERVICENOW,SN_FLIGHT_REPORT,RESOLVED_AT,TIMESTAMP_NTZ,,When the incident was resolved; null while open.
SERVICENOW,SN_FLIGHT_REPORT,REPORT_LAG_HOURS,FLOAT,,"Hours between the flight and the report being raised, as stated by the extract's own 'Delay in days' text."
SERVICENOW,SN_FLIGHT_REPORT,RESOLUTION_HOURS,FLOAT,,Hours between raising and resolving; null while open.
SERVICENOW,SN_FLIGHT_REPORT,FLEET_TYPE,VARCHAR,,"Aircraft family: 320, 321 or ATR."
SERVICENOW,SN_FLIGHT_REPORT,LEAD_BASE,VARCHAR,,Home base of the operating lead.
SERVICENOW,SN_FLIGHT_REPORT,STATION,VARCHAR,,Station the report was filed at.
SERVICENOW,SN_FLIGHT_REPORT,SECTOR,VARCHAR,,"Route as flown, e.g. DEL-KTM."
SERVICENOW,SN_FLIGHT_REPORT,ORIGIN,VARCHAR,,"Departure airport, split from the sector."
SERVICENOW,SN_FLIGHT_REPORT,DESTINATION,VARCHAR,,"Arrival airport, split from the sector."
SERVICENOW,SN_FLIGHT_REPORT,FLIGHT_NUMBER,VARCHAR,,"Commercial flight number, e.g. 6E-1153."
SERVICENOW,SN_FLIGHT_REPORT,FLIGHT_REG,VARCHAR,,Aircraft registration.
SERVICENOW,SN_FLIGHT_REPORT,CATEGORY,VARCHAR,,"Reported category, spelling normalised across the extract."
SERVICENOW,SN_FLIGHT_REPORT,CATEGORY_CODE,VARCHAR,,Slug of CATEGORY; joins M_SN_CATEGORY.
SERVICENOW,SN_FLIGHT_REPORT,SUB_CATEGORY,VARCHAR,,Reported sub-category.
SERVICENOW,SN_FLIGHT_REPORT,SUB_CATEGORY_CODE,VARCHAR,,Slug of CATEGORY + SUB_CATEGORY; joins M_SN_CATEGORY.
SERVICENOW,SN_FLIGHT_REPORT,POLARITY,VARCHAR,,"What the category says about the crew: APPRECIATION, SERVICE, OPERATIONAL, REPORTING or UNCLASSIFIED. A reading of the category only — it carries no weight and no severity."
SERVICENOW,SN_FLIGHT_REPORT,STATE,VARCHAR,,"ServiceNow workflow state: Resolved, Assigned, In Progress, Canceled."
SERVICENOW,SN_FLIGHT_REPORT,IS_RESOLVED,BOOLEAN,,TRUE when the incident reached a resolved state.
SERVICENOW,SN_FLIGHT_REPORT,RESOLUTION_CODE,VARCHAR,,How it was closed; blank while open.
SERVICENOW,SN_FLIGHT_REPORT,RESOLVED_BY,VARCHAR,,Resolver. 'Crew Portal Integration' means auto-acknowledged rather than worked by a person.
SERVICENOW,SN_FLIGHT_REPORT,IS_AUTO_RESOLVED,BOOLEAN,,"TRUE when closed by the Crew Portal integration with no human handling — an acknowledgement, not an investigation."
SERVICENOW,SN_FLIGHT_REPORT,HAS_BREACHED,BOOLEAN,,SLA breach flag as recorded.
SERVICENOW,SN_FLIGHT_REPORT,CDLB_ENTRY_MADE,VARCHAR,,Whether a Cabin Defect Log Book entry was made.
SERVICENOW,SN_FLIGHT_REPORT,CABIN_TYPE,VARCHAR,,"Cabin the event occurred in, where recorded."
SERVICENOW,SN_FLIGHT_REPORT,DESCRIPTION,VARCHAR,,"Crew's situation/action/outcome narrative. Free text; quoted, never summarised into a score."
SERVICENOW,SN_FLIGHT_REPORT,IFS_COMMENT_1,VARCHAR,,In-flight services follow-up note.
SERVICENOW,SN_FLIGHT_REPORT,IFS_COMMENT_2,VARCHAR,,Second in-flight services follow-up note.
SERVICENOW,SN_FLIGHT_REPORT,RESOLUTION_SHORT_DESCRIPTION,VARCHAR,,Closing note sent back to the reporter.
SERVICENOW,SN_FLIGHT_REPORT,CREW_INVOLVED_RAW,VARCHAR,,"Seat positions the report names as involved, verbatim."
SERVICENOW,SN_FLIGHT_REPORT,CX_CHAMPION_RAW,VARCHAR,,"Seat positions nominated customer-experience champion, verbatim."
SERVICENOW,SN_FLIGHT_REPORT,CREW_POSITIONS_NAMED,NUMBER,,How many seat positions carry an IGA on this report.
