DB Name,Report Name,Table Name,Key Columns Used,Relationship / Join,Why Selected
Crew Portal,Flight Report,T_FlightIssueGeneralInfo,"ReportId, IGA, FlightDate, FlightNo, DEP, ARR, FlightLeadBase, FlightREG, FlightTypeID, CreatedOn",Parent entity. ReportId drives all downstream joins. FlightTypeID → M_Aircraft.AircraftID,Core Flight Report header table. Every Flight Report originates from this table. 
Crew Portal,Flight Report,M_Aircraft,"AircraftID, AircraftType",T_FlightIssueGeneralInfo.FlightTypeID = M_Aircraft.AircraftID,Aircraft information is displayed in submitted Flight Reports. 
Crew Portal,Flight Report,T_FlightProcessCompliance,"ReportId, Process_Comp_Id, Process_Comp_Value, Process_Comp_Remarks",ReportId = T_FlightIssueGeneralInfo.ReportId,Stores compliance responses captured against Flight Reports. 
Crew Portal,Flight Report,M_FR_ProcessCompliance,"ComplianceId, ComplianceName",ComplianceId = T_FlightProcessCompliance.Process_Comp_Id,Provides compliance question/checkpoint names displayed in report output. 
Crew Portal,Flight Report,M_FR_ProcessComplianceValue,"ComplianceValueID, ComplianceText",ComplianceValueID = T_FlightProcessCompliance.Process_Comp_Value,Converts compliance codes into readable values. 
Crew Portal,Flight Report,T_FlightReportWorkPositionDetails,"ReportID, CrewPositionID, CrewIGA",ReportID = ReportId,Stores crew assignment details for each Flight Report. 
Crew Portal,Flight Report,M_CrewPosition,"CrewPositionID, CrewPosition, SeqNo",CrewPositionID = T_FlightReportWorkPositionDetails.CrewPositionID,"Required to derive CP, FO, LD, L1, L2, R1 etc. crew positions shown in reports. "
Crew Portal,Flight Report,M_CrewDetails,"IGA, CREWNAME",CrewIGA = IGA,Used to display crew names mapped to positions. 
Crew Portal,Flight Report,T_FlightIssueDetails,"ReportId, IssueCategoryGUID, IssueSubCategoryGUID, Comments, CrewInvolved, Station, Action, Outcome, CabinTypeId, CDLBId",ReportId = T_FlightIssueGeneralInfo.ReportId,Stores all issues/observations recorded against a Flight Report. 
Crew Portal,Flight Report,M_IssueCategory,"CategoryUniqueId, CategoryName",IssueCategoryGUID = CategoryUniqueId,Provides issue category descriptions displayed in report output. 
Crew Portal,Flight Report,M_IssueSubCategory,"SubCategoryUniqueId, SubCategoryName",IssueSubCategoryGUID = SubCategoryUniqueId,Provides issue names/subcategories visible in Flight Report issue details. 
Crew Portal,Flight Report,M_CabinType,"CabinTypeId, CabinTypeName",T_FlightIssueDetails.CabinTypeId = M_CabinType.CabinTypeId,"CabinTypeId exists as part of Flight Issue data model. Although not surfaced in the retrieved report SP section, it is a direct business lookup for Flight Issue records and should be preserved for KG lineage. "
Crew Portal,Flight Report,M_CDLB,"CDLBId, CDLBDescription",T_FlightIssueDetails.CDLBId = M_CDLB.CDLBId,Flight Issue entity carries CDLB reference. It forms part of the issue classification model tied to Flight Reports. 
Crew Portal,Flight Report,M_Controls_Attribute,"ReferenceControl, Visible",ReferenceControl = M_CrewPosition.CrewPositionID,Used to determine visible crew positions in Flight Report details retrieval. 
